model,split,time_index,rmse,relative_l2,correlation,spectral_error,energy_relative_error
cnn,ood,59.0,0.018742123618721962,0.5728865265846252,0.8217713363809955,0.3955828845500946,1.071987688425654
cnn,ood,69.0,0.02210056781768799,0.6705995798110962,0.767312582718281,0.4216998517513275,1.2445891411895622
cnn,ood,2.0,0.013666563667356968,0.2927974462509155,0.9624725717322429,0.2526119649410248,2.059739583572525
cnn,ood,12.0,0.010905062779784203,0.5329571962356567,0.845691673560096,0.43433740735054016,0.25847203805295205
cnn,ood,21.0,0.011167248710989952,0.3157255947589874,0.9518228557592358,0.24295197427272797,0.44439948755623826
cnn,ood,31.0,0.012537211179733276,0.34663987159729004,0.9385656374941604,0.2723897695541382,0.8515801869370054
cnn,ood,40.0,0.013992306776344776,0.4222261309623718,0.9064640542833541,0.35287097096443176,0.7434309896432832
cnn,ood,50.0,0.01699434034526348,0.5349341034889221,0.84834697482797,0.39715632796287537,0.883289061614545
cnn,ood,59.0,0.01964575983583927,0.6332867741584778,0.7954095275369658,0.46753376722335815,0.8299385269240683
cnn,ood,69.0,0.022773142904043198,0.7429137229919434,0.727195976382759,0.49609461426734924,1.0172247571310826
